./2006.q1-q4.by_area/2006.q1-q4 05000 Arkansas -- Statewide.csv:"05000","5","10","51","0","2006","1","","Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",76102,954534,957588,970239,7698681164,5338044019,132071103,616,"",0.98,0.99,0.99,0.99,0.97,1.00,1.00,0.98,"",3225,4.4,24440,2.6,21898,2.3,23254,2.5,704446857,10.1,356256303,7.2,5393501,4.3,42,7.3
./2006.q1-q4.by_area/2006.q1-q4 05000 Arkansas -- Statewide.csv:"05000","5","10","51","0","2006","2","","Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",76886,974406,979000,985677,7503995419,2335347678,58918596,589,"",0.98,0.99,0.99,0.99,0.96,1.00,0.99,0.97,"",3775,5.2,21355,2.2,19902,2.1,20650,2.1,413564505,5.8,-120596667,-4.9,-4532753,-7.1,20,3.5
./2006.q1-q4.by_area/2006.q1-q4 05000 Arkansas -- Statewide.csv:"05000","5","10","51","0","2006","3","","Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",77358,976509,979524,980747,7545560554,1297663048,32793439,593,"",0.98,1.01,1.00,0.99,0.99,1.01,1.00,0.99,"",3618,4.9,14013,1.5,14814,1.5,10806,1.1,137595010,1.9,-37141245,-2.8,-2449332,-6.9,3,0.5
./2006.q1-q4.by_area/2006.q1-q4 05000 Arkansas -- Statewide.csv:"05000","5","10","51","0","2006","4","","Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",77693,975394,973503,976261,8246791088,1062663141,27393602,651,"",0.98,0.99,0.98,0.98,0.98,1.02,1.00,0.99,"",3682,5.0,10592,1.1,5892,0.6,7152,0.7,272853056,3.4,7485348,0.7,-918764,-3.2,17,2.7
./2006.q1-q4.by_area/2006.q1-q4 06000 California -- Statewide.csv:"06000","5","10","51","0","2006","1","","California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1229595,12775436,12895744,12955491,157449040867,64041522907,2845405417,941,"",1.01,1.00,1.01,1.01,0.99,1.01,1.00,0.98,"",47524,4.0,394890,3.2,402347,3.2,353997,2.8,17833877112,12.8,4163162246,7.0,77425287,2.8,81,9.4
./2006.q1-q4.by_area/2006.q1-q4 06000 California -- Statewide.csv:"06000","5","10","51","0","2006","2","","California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1209110,12959904,13145946,13268783,148610165749,19174932024,822949291,871,"",1.01,1.00,1.01,1.00,1.00,1.02,1.00,0.99,"",43525,3.7,193811,1.5,275026,2.1,323411,2.5,9200496521,6.6,-222418372,-1.1,-48622532,-5.6,37,4.4
./2006.q1-q4.by_area/2006.q1-q4 06000 California -- Statewide.csv:"06000","5","10","51","0","2006","3","","California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1234127,13201866,13272629,13300858,151172525205,13642277489,612047721,877,"",1.01,1.00,1.01,1.01,1.00,1.02,1.00,0.99,"",39006,3.3,208461,1.6,214791,1.6,200957,1.5,3258105433,2.2,56270305,0.4,-13886767,-2.2,5,0.6
./2006.q1-q4.by_area/2006.q1-q4 06000 California -- Statewide.csv:"06000","5","10","51","0","2006","4","","California -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1263558,13231197,13236570,13265282,170305401890,11719978316,512483672,989,"",1.01,1.01,1.01,1.01,1.00,1.03,1.00,1.00,"",41685,3.4,155477,1.2,130110,1.0,120658,0.9,8921352242,5.5,-316653423,-2.6,-27156006,-5.0,42,4.4
./2006.q1-q4.by_area/2006.q1-q4 08000 Colorado -- Statewide.csv:"08000","5","10","51","0","2006","1","","Colorado -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",169160,1839045,1842921,1859870,20818406181,11817028942,266510319,867,"",1.02,1.00,1.00,1.00,1.01,0.99,1.00,1.00,"",5540,3.4,50788,2.8,47969,2.7,47885,2.6,2428878520,13.2,738561138,6.7,-21541420,-7.5,80,10.2
./2006.q1-q4.by_area/2006.q1-q4 08000 Colorado -- Statewide.csv:"08000","5","10","51","0","2006","2","","Colorado -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",171229,1867215,1878685,1919422,19606793747,4215858363,90561927,799,"",1.02,1.00,1.00,1.00,1.02,0.96,1.00,1.02,"",4835,2.9,47708,2.6,53299,2.9,56216,3.0,1304777328,7.1,12832410,0.3,-13854210,-13.3,32,4.2
